,,101,101,101,101,101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,101,,101,,,,,,,,,,,,,,,,2,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,101,,,,,,,,,,,,,,,,,,101,,101,,,,,,,,,,,,,,101,,,101,,,,,,,,,,,,,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,101,,101,,,,,,,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,101,,,,,,,,,,,,,,,,101,101,101,101,101,,,,,,,,,,,,,101,101,101,101,,101,,,,,,,,,,,,,,,,2,2,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,101,,,,,,,,,,,,,,,,,
,,,,,,,,101,,,,,,,,,,,,,,,,101,101,101,101,101,,,,,,,,,,,,,101,,,101,,101,,,,,,,,,,,,,,,,2,2,101,101,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,101,,,,,,,,,,,,,,,,
,,,,,,,,101,,,,,,,,,,,,,,,,,101,101,101,,,,,,,,,,,,,,101,,,101,,101,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,101,,,,,101,,,,,,,,,,,,,,,
,,,,,,,101,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,101,101,,,,,,,,,,,,,,,,,,,,,,101,101,402,,101,,,,,,,101,,,,,,,,,,,,,,
,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,101,101,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,,,,101,,,,,,,,,,,,,,,,,
,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,
,,1,1,1,1,1,1,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,,101,,
